delta,s_z,C_bar,coverage_deficit,S_delta
2.0914932806373905,3.48256475,0.5019295043641107,0.49807049563588934,0.2169328039414821
2.0917334750910874,3.4829646999999997,0.5018774023635719,0.4981225976364281,0.21689903341169128
2.0919736695447844,3.48336465,0.5018253084742509,0.4981746915257491,0.21686526518286361
2.0922138639984813,3.4837645999999998,0.5017732226955945,0.49822677730440545,0.21683149925787465
2.0924540584521787,3.48416455,0.5017211450270491,0.4982788549729509,0.2167977356395979
2.0926942529058756,3.4845645,0.5016690754680602,0.49833092453193983,0.21676397433090486
2.0929344473595726,3.4849644499999997,0.5016170140180728,0.4983829859819272,0.2167302153346646
2.09317464181327,3.4853644,0.5015649606765308,0.4984350393234692,0.21669645865374415
2.093414836266967,3.4857643499999997,0.5015129154428782,0.49848708455712176,0.21666270429100867
2.093655030720664,3.4861643,0.5014608783165576,0.4985391216834424,0.21662895224932066
2.0938952251743608,3.48656425,0.5014088492970113,0.49859115070298865,0.21659520253154096
2.0941354196280577,3.4869641999999996,0.5013568283836806,0.49864317161631944,0.21656145514052794
2.094375614081755,3.48736415,0.501304815576006,0.49869518442399396,0.21652771007913774
2.094615808535452,3.4877640999999997,0.5012528108734282,0.4987471891265718,0.2164939673502248
2.0948560029891494,3.48816405,0.5012008142753862,0.4987991857246138,0.21646022695664105
2.0950961974428464,3.4885639999999998,0.501148825781319,0.49885117421868097,0.21642648890123636
2.0953363918965433,3.4889639499999996,0.5010968453906645,0.49890315460933554,0.21639275318685858
2.0955765863502402,3.4893639,0.5010448731028601,0.49895512689713994,0.2163590198163532
2.095816780803937,3.4897638499999997,0.5009929089173423,0.4990070910826577,0.2163252887925636
2.0960569752576346,3.4901638,0.500940952833547,0.499059047166453,0.21629156011833117
2.0962971697113315,3.4905637499999997,0.50088900485091,0.49911099514908996,0.21625783379649516
2.096537364165029,3.4909637,0.5008370649688655,0.4991629350311345,0.21622410982989246
2.096777558618726,3.49136365,0.5007851331868477,0.4992148668131523,0.21619038822135805
2.0970177530724228,3.4917635999999996,0.5007332095042897,0.4992667904957103,0.21615666897372462
2.09725794752612,3.49216355,0.5006812939206242,0.4993187060793758,0.21612295208982274
2.097498141979817,3.4925634999999997,0.500629386435283,0.499370613564717,0.21608923757248097
2.097738336433514,3.49296345,0.5005774870476974,0.49942251295230256,0.21605552542452558
2.097978530887211,3.4933634,0.5005255957572979,0.49947440424270206,0.21602181564878079
2.098218725340908,3.4937633499999996,0.5004737125635146,0.4995262874364854,0.21598810824806863
2.0984589197946053,3.4941633,0.5004218374657762,0.4995781625342238,0.21595440322520887
2.0986991142483022,3.4945632499999997,0.5003699704635115,0.4996300295364885,0.21592070058301951
2.0989393087019996,3.4949632,0.5003181115561484,0.49968188844385164,0.21588700032431601
2.0991795031556966,3.4953631499999998,0.5002662607431141,0.4997337392568859,0.21585330245191203
2.0994196976093935,3.4957631,0.5002144180238349,0.49978558197616507,0.21581960696861885
2.0996598920630904,3.49616305,0.5001625833977368,0.4998374166022632,0.2157859138772457
2.0999000865167874,3.4965629999999996,0.5001107568642447,0.49988924313575533,0.21575222318059967
2.1001402809704848,3.49696295,0.5000589384227832,0.49994106157721685,0.21571853488148568
2.1003804754241817,3.4973628999999997,0.5000071280727761,0.49999287192722386,0.21568484898270662
2.100620669877879,3.49776285,0.4999553258136465,0.5000446741863536,0.21565116548706328
2.100860864331576,3.4981628,0.4999035316448168,0.5000964683551832,0.21561748439735412
2.101101058785273,3.4985627499999996,0.4998517455657089,0.5001482544342911,0.2155838057163756
2.1013412532389704,3.4989627,0.4997999675757437,0.5002000324242564,0.21555012944692198
2.1015814476926673,3.4993626499999997,0.4997481976743419,0.5002518023256581,0.21551645559178562
2.1018216421463642,3.4997626,0.49969643586092305,0.500303564139077,0.21548278415375632
2.102061836600061,3.5001625499999998,0.49964468213490637,0.5003553178650937,0.21544911513562215
2.1023020310537586,3.5005625,0.49959293649571,0.50040706350429,0.2154154485401689
2.1025422255074555,3.50096245,0.49954119894275206,0.5004588010572479,0.21538178437018016
