delta,model,regime,E,M
0.23499999999999996,CW,LF,0.9873855186491824,0.10613271598696788
0.23599999999999996,CW,LF,0.9872791704893886,0.10656356037049707
0.23699999999999996,CW,LF,0.9871723916150685,0.10699414487294032
0.23799999999999996,CW,LF,0.9870651822866029,0.10742446849535703
0.23899999999999996,CW,LF,0.9869575427653705,0.10785453024006897
0.23999999999999996,CW,LF,0.9868494733137474,0.1082843291106608
0.24099999999999996,CW,LF,0.9867409741951056,0.1087138641119883
0.24199999999999997,CW,LF,0.9866320456738111,0.10914313425017758
0.24299999999999997,CW,LF,0.9865226880152237,0.1095721385326368
0.24399999999999997,CW,LF,0.9864129014856949,0.11000087596805647
0.24499999999999994,CW,LF,0.9863026863525667,0.11042934556641186
0.24599999999999994,CW,LF,0.9861920428841707,0.11085754633897126
0.24699999999999994,CW,LF,0.9860809713498264,0.11128547729829864
0.24799999999999994,CW,LF,0.9859694720198406,0.11171313745826306
0.24899999999999994,CW,LF,0.9858575451655047,0.11214052583403131
0.24999999999999994,CW,LF,0.9857451910590951,0.11256764144208584
0.25099999999999995,CW,LF,0.9856324099738706,0.1129944833002204
0.25199999999999995,CW,LF,0.9855192021840717,0.11342105042754859
0.25299999999999995,CW,LF,0.985405567964919,0.11384734184450546
0.25399999999999995,CW,LF,0.9852915075926124,0.11427335657285535
0.25499999999999995,CW,LF,0.9851770213443285,0.11469909363569193
0.25599999999999995,CW,LF,0.9850621094982212,0.11512455205744834
0.25699999999999995,CW,LF,0.9849467723334187,0.11554973086389574
0.25799999999999995,CW,LF,0.9848310101300227,0.11597462908215175
0.25899999999999995,CW,LF,0.9847148231691076,0.11639924574068197
0.25999999999999995,CW,LF,0.9845982117327181,0.11682357986930579
0.26099999999999995,CW,LF,0.9844811761038684,0.1172476304992022
0.26199999999999996,CW,LF,0.9843637165665416,0.1176713966629115
0.26299999999999996,CW,LF,0.9842458334056869,0.11809487739434119
0.26399999999999996,CW,LF,0.9841275269072188,0.11851807172876781
0.26499999999999996,CW,LF,0.9840087973580162,0.11894097870284573
0.26599999999999996,CW,LF,0.9838896450459205,0.11936359735460837
0.26699999999999996,CW,LF,0.9837700702597346,0.11978592672347277
0.26799999999999996,CW,LF,0.9836500732892209,0.12020796585024349
0.26899999999999996,CW,LF,0.9835296544251009,0.12062971377711909
0.26999999999999996,CW,LF,0.9834088139590522,0.12105116954769221
0.27099999999999996,CW,LF,0.9832875521837091,0.12147233220696003
0.27199999999999996,CW,LF,0.9831658693926599,0.1218932008013228
0.27299999999999996,CW,LF,0.9830437658804456,0.12231377437859067
0.27399999999999997,CW,LF,0.9829212419425587,0.12273405198798679
0.27499999999999997,CW,LF,0.9827982978754419,0.12315403268015278
0.27599999999999997,CW,LF,0.9826749339764869,0.12357371550715344
0.27699999999999997,CW,LF,0.9825511505440317,0.12399309952247757
0.27799999999999997,CW,LF,0.9824269478773608,0.12441218378104515
0.27899999999999997,CW,LF,0.982302326276703,0.12483096733921203
0.27999999999999997,CW,LF,0.98217728604323,0.12524944925477116
0.28099999999999997,CW,LF,0.9820518274790547,0.12566762858696007
0.282,CW,LF,0.9819259508872302,0.1260855043964612
0.2829999999999999,CW,LF,0.9817996565717485,0.1265030757454101
0.2839999999999999,CW,LF,0.9816729448375384,0.12692034169739658
0.2849999999999999,CW,LF,0.9815458159904644,0.12733730131747037
0.2859999999999999,CW,LF,0.9814182703373252,0.12775395367214354
0.2869999999999999,CW,LF,0.9812903081858526,0.12817029782939685
0.2879999999999999,CW,LF,0.9811619298447093,0.12858633285868243
0.2889999999999999,CW,LF,0.9810331356234877,0.12900205783092766
0.2899999999999999,CW,LF,0.9809039258327089,0.12941747181853971
0.2909999999999999,CW,LF,0.9807743007838209,0.12983257389541014
0.2919999999999999,CW,LF,0.9806442607891966,0.1302473631369175
0.2929999999999999,CW,LF,0.9805138061621331,0.13066183861993214
0.29399999999999993,CW,LF,0.9803829372168498,0.13107599942282153
0.29499999999999993,CW,LF,0.9802516542684876,0.13148984462545252
0.29599999999999993,CW,LF,0.9801199576331056,0.13190337330919374
0.29699999999999993,CW,LF,0.9799878476276812,0.132316584556923
0.29799999999999993,CW,LF,0.9798553245701088,0.13272947745303046
0.29899999999999993,CW,LF,0.979722388779197,0.13314205108342164
0.29999999999999993,CW,LF,0.9795890405746681,0.13355430453552128
0.30099999999999993,CW,LF,0.9794552802771557,0.1339662368982764
0.30199999999999994,CW,LF,0.9793211082082045,0.13437784726216542
0.30299999999999994,CW,LF,0.9791865246902672,0.13478913471919407
0.30399999999999994,CW,LF,0.979051530046704,0.13520009836290403
0.30499999999999994,CW,LF,0.9789161246017808,0.13561073728837875
0.30599999999999994,CW,LF,0.9787803086806678,0.13602105059224176
0.30699999999999994,CW,LF,0.9786440826094375,0.1364310373726651
0.30799999999999994,CW,LF,0.9785074467150636,0.13684069672937024
0.30899999999999994,CW,LF,0.9783704013254194,0.1372500277636342
0.30999999999999994,CW,LF,0.9782329467692763,0.13765902957829396
0.31099999999999994,CW,LF,0.9780950833763015,0.13806770127774573
0.31199999999999994,CW,LF,0.9779568114770572,0.13847604196795218
0.31299999999999994,CW,LF,0.9778181314029994,0.13888405075644836
0.31399999999999995,CW,LF,0.9776790434864753,0.13929172675233936
0.31499999999999995,CW,LF,0.9775395480607221,0.13969906906631133
0.31599999999999995,CW,LF,0.9773996454598659,0.14010607681062925
0.31699999999999995,CW,LF,0.9772593360189196,0.14051274909914374
0.31799999999999995,CW,LF,0.9771186200737809,0.14091908504729186
0.31899999999999995,CW,LF,0.9769774979612327,0.14132508377210776
0.31999999999999995,CW,LF,0.9768359700189383,0.14173074439221764
